#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Dir
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -1.25 -0.833333333333 129.621740514
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -0.833333333333 -0.416666666667 113.58759784
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -0.416666666667 0.0 98.749578061
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 0.0 0.416666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 0.416666666667 0.833333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -2.5 -2.08333333333 81.7056706764
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -2.08333333333 -1.66666666667 94.3404598838
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -1.66666666667 -1.25 98.9295136909
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -1.25 -0.833333333333 97.8060312092
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -0.833333333333 -0.416666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -0.416666666667 0.0 95.8305911474
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 0.0 0.416666666667 93.1039217939
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 0.416666666667 0.833333333333 89.5781293803
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -2.5 -2.08333333333 104.218203134
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -2.08333333333 -1.66666666667 91.1404310766
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -1.66666666667 -1.25 97.9919979098
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -1.25 -0.833333333333 97.3383529093
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -0.833333333333 -0.416666666667 96.8519187448
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -0.416666666667 0.0 95.3310603301
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 0.0 0.416666666667 92.30498983
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 0.416666666667 0.833333333333 97.6392935277
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -2.5 -2.08333333333 103.342464444
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -2.08333333333 -1.66666666667 103.824756755
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -1.66666666667 -1.25 101.194573546
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -1.25 -0.833333333333 98.2852210972
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -0.833333333333 -0.416666666667 97.8657388188
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 -0.416666666667 0.0 95.8555825831
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 0.0 0.416666666667 92.8683350258
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 0.416666666667 0.833333333333 92.916209347
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 0.833333333333 1.25 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.16666666667 -2.0 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -2.5 -2.08333333333 72.6958590149
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -2.08333333333 -1.66666666667 95.7166925376
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -1.66666666667 -1.25 99.8608491026
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -1.25 -0.833333333333 99.5315014593
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -0.833333333333 -0.416666666667 98.0200516104
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 -0.416666666667 0.0 95.8493984678
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 0.0 0.416666666667 94.0064684135
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 0.416666666667 0.833333333333 83.9448218307
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.0 -1.83333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 -2.5 -2.08333333333 99.4500007585
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 -2.08333333333 -1.66666666667 100.018606066
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 -1.66666666667 -1.25 95.539686193
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 -1.25 -0.833333333333 97.2407450939
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 -0.833333333333 -0.416666666667 95.4637680256
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 -0.416666666667 0.0 93.2693462768
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 0.0 0.416666666667 91.1621667966
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 0.416666666667 0.833333333333 96.811431618
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.83333333333 -1.66666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -1.66666666667 -1.5 -2.5 -2.08333333333 95.4738674527
