#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Angle
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -1.66666666667 -1.25 61.5297218436
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -1.25 -0.833333333333 39.359630215
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -0.833333333333 -0.416666666667 18.6970931186
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 -0.416666666667 0.0 10.4682352979
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 0.0 0.416666666667 7.37578691527
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 0.416666666667 0.833333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.833333333333 -0.666666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -2.5 -2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -2.08333333333 -1.66666666667 110.115727106
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -1.66666666667 -1.25 26.5024963485
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -1.25 -0.833333333333 33.2393963444
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -0.833333333333 -0.416666666667 22.3899815305
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 -0.416666666667 0.0 11.3277338976
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 0.0 0.416666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 0.416666666667 0.833333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -0.666666666667 -0.5 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -2.5 -2.08333333333 60.2057119701
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -2.08333333333 -1.66666666667 38.5419495942
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -1.66666666667 -1.25 16.5973938218
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -1.25 -0.833333333333 6.56231609532
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -0.833333333333 -0.416666666667 2.88002078071
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 -0.416666666667 0.0 1.57561889883
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 0.0 0.416666666667 1.22644530449
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 0.416666666667 0.833333333333 1.01325110235
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.5 -2.33333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -2.5 -2.08333333333 88.4072810479
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -2.08333333333 -1.66666666667 42.6493775768
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -1.66666666667 -1.25 19.1072871111
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -1.25 -0.833333333333 8.29504854587
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -0.833333333333 -0.416666666667 3.60539051032
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 -0.416666666667 0.0 1.96918440738
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 0.0 0.416666666667 1.5282917692
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 0.416666666667 0.833333333333 1.33590861853
11.0 11.2916666667 -2.75 -2.5 -2.33333333333 -2.16666666667 0.833333333333 1.25 -99.0
