#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Angle
11.0 11.175 -1.65 -1.5 -2.2 -2.1 5.74341621832
11.0 11.175 -1.65 -1.5 -2.1 -2.0 6.12685248109
11.0 11.175 -1.65 -1.5 -2.0 -1.9 6.07183940256
11.0 11.175 -1.65 -1.5 -1.9 -1.8 6.07539442111
11.0 11.175 -1.65 -1.5 -1.8 -1.7 6.28374870978
11.0 11.175 -1.65 -1.5 -1.7 -1.6 6.41087226739
11.0 11.175 -1.65 -1.5 -1.6 -1.5 6.61634354192
11.0 11.175 -1.65 -1.5 -1.5 -1.4 6.87515180367
11.0 11.175 -1.65 -1.5 -1.4 -1.3 7.47691404094
11.0 11.175 -1.65 -1.5 -1.3 -1.2 8.04082010504
11.0 11.175 -1.65 -1.5 -1.2 -1.1 9.03506268135
11.0 11.175 -1.65 -1.5 -1.1 -1.0 10.2116444465
11.0 11.175 -1.65 -1.5 -1.0 -0.9 11.959112486
11.0 11.175 -1.65 -1.5 -0.9 -0.8 12.9034780873
11.0 11.175 -1.65 -1.5 -0.8 -0.7 14.9541340238
11.0 11.175 -1.65 -1.5 -0.7 -0.6 18.2391255284
11.0 11.175 -1.65 -1.5 -0.6 -0.5 21.9131381523
11.0 11.175 -1.5 -1.35 -2.5 -2.4 7.27968839604
11.0 11.175 -1.5 -1.35 -2.4 -2.3 6.03974271937
11.0 11.175 -1.5 -1.35 -2.3 -2.2 8.16076436662
11.0 11.175 -1.5 -1.35 -2.2 -2.1 7.60409061974
11.0 11.175 -1.5 -1.35 -2.1 -2.0 8.21824095286
11.0 11.175 -1.5 -1.35 -2.0 -1.9 8.20106922356
11.0 11.175 -1.5 -1.35 -1.9 -1.8 8.33367120549
11.0 11.175 -1.5 -1.35 -1.8 -1.7 8.44256132578
11.0 11.175 -1.5 -1.35 -1.7 -1.6 8.37233298992
11.0 11.175 -1.5 -1.35 -1.6 -1.5 8.57629663979
11.0 11.175 -1.5 -1.35 -1.5 -1.4 8.42113359665
11.0 11.175 -1.5 -1.35 -1.4 -1.3 8.65003038403
11.0 11.175 -1.5 -1.35 -1.3 -1.2 9.10800511172
11.0 11.175 -1.5 -1.35 -1.2 -1.1 9.79771042199
11.0 11.175 -1.5 -1.35 -1.1 -1.0 10.9514028834
11.0 11.175 -1.5 -1.35 -1.0 -0.9 11.9121803973
11.0 11.175 -1.5 -1.35 -0.9 -0.8 13.883629361
11.0 11.175 -1.5 -1.35 -0.8 -0.7 15.4551081481
11.0 11.175 -1.5 -1.35 -0.7 -0.6 18.0097293355
11.0 11.175 -1.5 -1.35 -0.6 -0.5 18.6491209839
11.0 11.175 -1.35 -1.2 -2.5 -2.4 9.15529405427
11.0 11.175 -1.35 -1.2 -2.4 -2.3 7.65285553934
11.0 11.175 -1.35 -1.2 -2.3 -2.2 9.9882958915
11.0 11.175 -1.35 -1.2 -2.2 -2.1 10.5919337702
11.0 11.175 -1.35 -1.2 -2.1 -2.0 10.0404413971
11.0 11.175 -1.35 -1.2 -2.0 -1.9 10.5629874063
11.0 11.175 -1.35 -1.2 -1.9 -1.8 11.1690543683
11.0 11.175 -1.35 -1.2 -1.8 -1.7 11.8537802762
11.0 11.175 -1.35 -1.2 -1.7 -1.6 12.3364532077
11.0 11.175 -1.35 -1.2 -1.6 -1.5 12.1102129598
11.0 11.175 -1.35 -1.2 -1.5 -1.4 11.8863723658
11.0 11.175 -1.35 -1.2 -1.4 -1.3 11.6423702772
11.0 11.175 -1.35 -1.2 -1.3 -1.2 11.3931014074
11.0 11.175 -1.35 -1.2 -1.2 -1.1 11.8454622598
11.0 11.175 -1.35 -1.2 -1.1 -1.0 12.41036835
11.0 11.175 -1.35 -1.2 -1.0 -0.9 13.621282054
11.0 11.175 -1.35 -1.2 -0.9 -0.8 14.4818923046
11.0 11.175 -1.35 -1.2 -0.8 -0.7 16.1706079216
11.0 11.175 -1.35 -1.2 -0.7 -0.6 16.8204132871
11.0 11.175 -1.35 -1.2 -0.6 -0.5 18.2601072964
11.0 11.175 -1.2 -1.05 -2.5 -2.4 10.7444045952
11.0 11.175 -1.2 -1.05 -2.4 -2.3 8.44263392401
11.0 11.175 -1.2 -1.05 -2.3 -2.2 11.2598904046
11.0 11.175 -1.2 -1.05 -2.2 -2.1 12.5039559511
11.0 11.175 -1.2 -1.05 -2.1 -2.0 11.5775171242
11.0 11.175 -1.2 -1.05 -2.0 -1.9 13.1387147311
11.0 11.175 -1.2 -1.05 -1.9 -1.8 13.6715685503
11.0 11.175 -1.2 -1.05 -1.8 -1.7 15.1724457061
11.0 11.175 -1.2 -1.05 -1.7 -1.6 15.4859828537
11.0 11.175 -1.2 -1.05 -1.6 -1.5 16.4297955224
11.0 11.175 -1.2 -1.05 -1.5 -1.4 16.3237458654
11.0 11.175 -1.2 -1.05 -1.4 -1.3 15.8497190166
11.0 11.175 -1.2 -1.05 -1.3 -1.2 15.9724393676
11.0 11.175 -1.2 -1.05 -1.2 -1.1 15.5807655259
11.0 11.175 -1.2 -1.05 -1.1 -1.0 15.1388788558
11.0 11.175 -1.2 -1.05 -1.0 -0.9 15.4678245024
11.0 11.175 -1.2 -1.05 -0.9 -0.8 16.4616599257
11.0 11.175 -1.2 -1.05 -0.8 -0.7 17.5459446325
11.0 11.175 -1.2 -1.05 -0.7 -0.6 16.1347499121
