#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Dir
11.0 11.175 -1.5 -1.35 -0.9 -0.8 86.6361087168
11.0 11.175 -1.5 -1.35 -0.8 -0.7 93.0782360536
11.0 11.175 -1.5 -1.35 -0.7 -0.6 96.0756609753
11.0 11.175 -1.5 -1.35 -0.6 -0.5 105.474825692
11.0 11.175 -1.35 -1.2 -2.5 -2.4 104.266477158
11.0 11.175 -1.35 -1.2 -2.4 -2.3 99.928139978
11.0 11.175 -1.35 -1.2 -2.3 -2.2 87.7149621917
11.0 11.175 -1.35 -1.2 -2.2 -2.1 86.6239916382
11.0 11.175 -1.35 -1.2 -2.1 -2.0 70.9183668735
11.0 11.175 -1.35 -1.2 -2.0 -1.9 66.855889997
11.0 11.175 -1.35 -1.2 -1.9 -1.8 64.7307344719
11.0 11.175 -1.35 -1.2 -1.8 -1.7 64.5026809547
11.0 11.175 -1.35 -1.2 -1.7 -1.6 62.3375496903
11.0 11.175 -1.35 -1.2 -1.6 -1.5 64.6562431456
11.0 11.175 -1.35 -1.2 -1.5 -1.4 66.0080773246
11.0 11.175 -1.35 -1.2 -1.4 -1.3 70.8180899562
11.0 11.175 -1.35 -1.2 -1.3 -1.2 73.2961739388
11.0 11.175 -1.35 -1.2 -1.2 -1.1 76.4806086744
11.0 11.175 -1.35 -1.2 -1.1 -1.0 79.4493551253
11.0 11.175 -1.35 -1.2 -1.0 -0.9 83.707417993
11.0 11.175 -1.35 -1.2 -0.9 -0.8 85.7223573871
11.0 11.175 -1.35 -1.2 -0.8 -0.7 90.9833643969
11.0 11.175 -1.35 -1.2 -0.7 -0.6 102.191083661
11.0 11.175 -1.35 -1.2 -0.6 -0.5 104.403376162
11.0 11.175 -1.2 -1.05 -2.5 -2.4 110.333240474
11.0 11.175 -1.2 -1.05 -2.4 -2.3 110.030540414
11.0 11.175 -1.2 -1.05 -2.3 -2.2 86.4541738272
11.0 11.175 -1.2 -1.05 -2.2 -2.1 99.7930913112
